,aclose
2009-10-02,68.59
2009-10-09,72.5722
2009-10-16,70.0999
2009-10-23,69.3623
2009-10-30,69.5063
2009-11-06,71.483
2009-11-13,73.5322
2009-11-20,73.4916
2009-11-27,72.7623
2009-12-04,73.6595
2009-12-11,75.0661
2009-12-18,74.0415
2009-12-24,75.5813
2009-12-31,75.7723
2010-01-08,75.7434
2010-01-15,76.2817
2010-01-22,72.6465
2010-01-29,70.8463
2010-02-05,71.182
2010-02-12,72.1021
2010-02-19,73.957
2010-02-26,73.9396
2010-03-05,73.9919
2010-03-12,74.3931
2010-03-19,74.2594
2010-03-26,75.1607
2010-04-01,74.5734
2010-04-09,74.8699
2010-04-16,75.9573
2010-04-23,75.5851
2010-04-30,75.0095
2010-05-07,71.3697
2010-05-14,76.683
2010-05-21,73.3103
2010-05-28,73.2168
2010-06-04,73.2285
2010-06-11,75.0814
2010-06-18,76.0751
2010-06-25,74.304
2010-07-02,71.2295
2010-07-09,74.795
2010-07-16,74.8359
2010-07-23,75.0405
2010-07-30,75.0522
2010-08-06,76.4492
2010-08-13,75.1157
2010-08-20,74.8984
2010-08-27,73.2712
2010-09-03,74.9454
2010-09-10,75.1862
2010-09-17,76.4786
2010-09-24,78.7813
2010-10-01,79.6801
2010-10-08,81.5658
2010-10-15,82.864
2010-10-22,82.0475
2010-10-29,84.3561
2010-11-05,86.3064
2010-11-12,84.8131
2010-11-19,85.5861
2010-11-26,84.9075
2010-12-03,85.7808
2010-12-10,85.4504
2010-12-17,85.5566
2010-12-23,86.0817
2010-12-31,86.595
2011-01-07,87.2854
2011-01-14,88.5068
2011-01-21,91.752
2011-01-28,93.9411
2011-02-04,96.7674
2011-02-11,97.0574
2011-02-18,97.6438
2011-02-25,96.1274
2011-03-04,95.8608
2011-03-11,96.2162
2011-03-18,92.3422
2011-03-25,96.0681
2011-04-01,97.3062
2011-04-08,97.1758
2011-04-15,98.4553
2011-04-21,99.6815
2011-04-29,101.0439
2011-05-06,100.4871
2011-05-13,101.0999
2011-05-20,101.2427
2011-05-27,99.6601
2011-06-03,98.2024
2011-06-10,97.0897
2011-06-17,97.8394
2011-06-24,98.2143
2011-07-01,103.8488
2011-07-08,105.009
2011-07-15,104.4438
2011-07-22,110.1794
2011-07-29,108.1981
2011-08-05,102.9206
2011-08-12,100.5281
2011-08-19,94.157
2011-08-26,101.0899
2011-09-02,99.799
2011-09-09,96.446
2011-09-16,103.391
2011-09-23,101.2095
2011-09-30,104.5146
2011-10-07,109.0091
2011-10-14,113.8741
2011-10-21,108.5548
2011-10-28,112.0333
2011-11-04,111.3938
2011-11-11,112.44
2011-11-18,111.1559
2011-11-25,106.2473
2011-12-02,113.8081
2011-12-09,116.7485
2011-12-16,110.1538
2011-12-23,110.8618
2011-12-30,110.3398
2012-01-06,109.5357
2012-01-13,107.5075
2012-01-20,113.1241
2012-01-27,114.2882
2012-02-03,116.1964
2012-02-10,115.9131
2012-02-17,116.5155
2012-02-24,119.1299
2012-03-02,119.7624
2012-03-09,120.8528
2012-03-16,124.0997
2012-03-23,123.7804
2012-03-30,125.69
2012-04-05,123.7744
2012-04-13,122.166
2012-04-20,120.2383
