,volume
2015-06-05,13868111
2015-06-12,18364270
2015-06-19,20761376
2015-06-26,20939777
2015-07-02,12979210
2015-07-10,18143986
2015-07-17,17138495
2015-07-24,37075256
2015-07-31,15380412
2015-08-07,20138504
2015-08-14,17165086
2015-08-21,19846207
2015-08-28,32508092
2015-09-04,21421138
2015-09-11,13916382
2015-09-18,20721826
2015-09-25,16815584
2015-10-02,19914471
2015-10-09,19465122
2015-10-16,17455488
2015-10-23,42068316
2015-10-30,34698762
2015-11-06,21526383
2015-11-13,25069755
2015-11-20,21083793
2015-11-27,13199481
2015-12-04,22935841
2015-12-11,21354563
2015-12-18,27823388
2015-12-24,16540309
2015-12-31,13538507
2016-01-08,25251873
2016-01-15,29470082
2016-01-22,44203492
2016-01-29,27278749
2016-02-05,25527891
2016-02-12,32025579
2016-02-19,23958762
2016-02-26,20763400
2016-03-04,22557187
2016-03-11,23556160
2016-03-18,29886417
2016-03-24,17611709
2016-04-01,20439783
2016-04-08,18417556
2016-04-15,17443203
2016-04-22,37688644
2016-04-29,16956550
2016-05-06,21059912
2016-05-13,17034303
2016-05-20,16406443
2016-05-27,14910875
2016-06-03,13470239
2016-06-10,14920842
2016-06-17,15849580
2016-06-24,22214411
2016-07-01,19155814
2016-07-08,10213227
2016-07-15,18535456
2016-07-22,24775973
2016-07-29,13747991
2016-08-05,15067283
2016-08-12,19554950
2016-08-19,14873739
2016-08-26,13571765
2016-09-02,11286596
2016-09-09,15009419
2016-09-16,21990587
2016-09-23,12476162
2016-09-30,15801644
2016-10-07,11417766
2016-10-14,15614452
2016-10-21,31731091
2016-10-28,16009359
2016-11-04,15168515
2016-11-11,25292112
2016-11-18,16168917
2016-11-25,11269212
2016-12-02,19370850
2016-12-09,17154330
2016-12-16,23953742
2016-12-23,13209502
2016-12-30,7770697
2017-01-06,11943248
2017-01-13,16710843
2017-01-20,26891514
2017-01-27,24898161
2017-02-03,16952754
2017-02-10,15458288
2017-02-17,15587334
2017-02-24,13082284
2017-03-03,14713309
2017-03-10,18283618
2017-03-17,20678038
2017-03-24,16816026
2017-03-31,15949938
2017-04-07,20657952
2017-04-13,15162492
2017-04-21,22353091
2017-04-28,22585454
2017-05-05,28746997
2017-05-12,28432713
2017-05-19,23606431
2017-05-26,14563625
2017-06-02,13583558
2017-06-09,20653101
2017-06-16,23761609
2017-06-23,18294998
2017-06-30,13465670
2017-07-07,11462576
2017-07-14,15015697
2017-07-21,39223438
2017-07-28,21206630
2017-08-04,16503121
2017-08-11,18161288
2017-08-18,18585485
2017-08-25,15927109
2017-09-01,17765494
2017-09-08,13803467
2017-09-15,24882951
2017-09-22,16890140
2017-09-29,18131168
2017-10-06,12252293
2017-10-13,16128636
2017-10-20,56148944
2017-10-27,28529638
2017-11-03,19467703
2017-11-10,21891991
2017-11-17,23731918
2017-11-24,13728716
2017-12-01,24386604
2017-12-08,20236835
2017-12-15,31101402
2017-12-22,20045931
2017-12-29,10573732
2018-01-05,26160206
2018-01-12,22376145
2018-01-19,51246304
2018-01-26,28170112
2018-02-02,21842492
2018-02-09,38856237
2018-02-16,25701914
2018-02-23,14987102
2018-03-02,18831762
2018-03-09,22842811
2018-03-16,25076217
2018-03-23,21959274
2018-03-29,14934365
2018-04-06,20949699
2018-04-13,21372171
2018-04-20,51127683
2018-04-27,25028049
2018-05-04,23464605
2018-05-11,20021856
2018-05-18,16304020
2018-05-25,16951460
2018-06-01,20343954
2018-06-08,18618365
2018-06-15,21311072
2018-06-22,21004666
2018-06-29,25451478
2018-07-06,12024030
2018-07-13,17395351
2018-07-20,36572622
2018-07-27,19940363
2018-08-03,24366161
2018-08-10,17100909
2018-08-17,17890077
2018-08-24,12992907
2018-08-31,15929583
2018-09-07,15394651
2018-09-14,20298346
2018-09-21,37327961
2018-09-28,22847744
2018-10-05,18943237
2018-10-12,27703434
2018-10-19,50928336
2018-10-26,36964774
2018-11-02,87773431
2018-11-09,48482997
2018-11-16,23510061
2018-11-23,18035587
2018-11-30,27471124
2018-12-07,25801474
2018-12-14,23701178
2018-12-21,39485288
2018-12-28,21630293
2019-01-04,18047093
2019-01-11,19780844
2019-01-18,23616108
2019-01-25,44147478
2019-02-01,23585862
2019-02-08,21874687
2019-02-15,17299173
2019-02-22,13238819
2019-03-01,15273342
2019-03-08,18558647
2019-03-15,20959826
2019-03-22,17883337
2019-03-29,14257045
2019-04-05,14574262
2019-04-12,13675882
2019-04-18,27390537
2019-04-26,16961387
2019-05-03,16772230
2019-05-10,19509963
2019-05-17,16426011
2019-05-24,15557532
2019-05-31,14869322
2019-06-07,16193845
2019-06-14,13722199
2019-06-21,15851123
2019-06-28,15575818
2019-07-05,9862722
2019-07-12,13194248
2019-07-19,31893327
2019-07-26,16794485
2019-08-02,22876887
2019-08-09,28623442
2019-08-16,20933133
2019-08-23,16504912
2019-08-30,16211916
2019-09-06,12663912
2019-09-13,17776693
2019-09-20,15262993
2019-09-27,12376163
2019-10-04,15911420
2019-10-11,14096608
2019-10-18,34208011
2019-10-25,19388201
2019-11-01,16136475
2019-11-08,17174941
2019-11-15,16169172
2019-11-22,16963107
2019-11-29,11502959
2019-12-06,17337693
2019-12-13,17504239
2019-12-20,20036502
2019-12-27,8887084
2020-01-03,13418364
2020-01-10,17020619
2020-01-17,20831539
2020-01-24,34829367
2020-01-31,34661511
2020-02-07,43694755
2020-02-14,23423757
2020-02-21,12493166
2020-02-28,38480655
2020-03-06,35054761
2020-03-13,55580046
2020-03-20,47138046
2020-03-27,39907532
2020-04-03,28882211
2020-04-09,23351117
2020-04-17,27240371
2020-04-24,41252209
2020-05-01,26502989
2020-05-08,21189890
2020-05-15,24229073
2020-05-22,19484187
2020-05-29,23037728
2020-06-05,19514867
2020-06-12,33456639
2020-06-19,24867689
2020-06-26,35016186
2020-07-02,16478700
2020-07-10,22560031
2020-07-17,21958911
2020-07-24,41040414
2020-07-31,20010578
2020-08-07,17701697
2020-08-14,18634659
2020-08-21,15908978
2020-08-28,16959794
2020-09-04,26310920
2020-09-11,16507866
2020-09-18,18909398
2020-09-25,18708494
2020-10-02,15038264
2020-10-09,43381507
2020-10-16,21874963
2020-10-23,50486636
2020-10-30,37250916
2020-11-06,25467232
2020-11-13,30088820
2020-11-20,22498909
2020-11-27,19418148
2020-12-04,24848983
2020-12-11,29511629
2020-12-18,25280527
2020-12-24,14908439
2020-12-31,14025419
2021-01-08,28434389
2021-01-15,29417959
2021-01-22,61879427
2021-01-29,56437187
2021-02-05,28405606
2021-02-12,24634263
2021-02-19,22567552
2021-02-26,30731807
2021-03-05,32662092
2021-03-12,29253064
2021-03-19,28046462
2021-03-26,23647858
2021-04-01,18432506
2021-04-09,19179860
2021-04-16,26831249
2021-04-23,47246234
2021-04-30,25588990
2021-05-07,31590796
2021-05-14,27415665
2021-05-21,20546126
2021-05-28,18483838
2021-06-04,12453017
2021-06-11,22042806
2021-06-18,23177438
2021-06-25,17129373
2021-07-02,29077036
2021-07-09,21544898
2021-07-16,18659679
2021-07-23,34786264
2021-07-30,16120616
2021-08-06,16428567
2021-08-13,18462255
2021-08-20,16189007
2021-08-27,12376600
2021-09-03,13345045
2021-09-10,13754250
2021-09-17,20130213
2021-09-24,18425230
2021-10-01,23824191
2021-10-08,27211291
2021-10-15,16262687
2021-10-22,59731582
2021-10-29,34288134
2021-11-05,29791780
2021-11-12,29109912
2021-11-19,24272797
2021-11-26,17875027
2021-12-03,36059651
2021-12-10,25031512
2021-12-17,35216850
2021-12-23,17369625
2021-12-31,18454937
2022-01-07,36013766
2022-01-14,32044685
2022-01-21,20520487
2022-01-28,52800401
2022-02-04,27665550
2022-02-11,23489144
2022-02-18,26022824
2022-02-25,20417161
2022-03-04,26131658
2022-03-11,23784887
2022-03-18,22675632
2022-03-25,15440952
2022-04-01,19183786
2022-04-08,16553021
2022-04-14,15342641
2022-04-22,47056765
2022-04-29,24560464
2022-05-06,27079586
2022-05-13,31171489
2022-05-20,27360441
2022-05-27,19618090
2022-06-03,19861566
2022-06-10,18914084
2022-06-17,34055621
2022-06-24,23921844
2022-07-01,21052787
2022-07-08,16229131
2022-07-15,21089228
2022-07-22,66246811
2022-07-29,22223785
2022-08-05,17400572
2022-08-12,17254110
2022-08-19,17105977
2022-08-26,16982107
2022-09-02,15086608
2022-09-09,12004834
2022-09-16,27107187
2022-09-23,19442664
2022-09-30,22265241
2022-10-07,21614952
2022-10-14,22973512
2022-10-21,37309868
2022-10-28,26667185
2022-11-04,22491556
2022-11-11,25066114
2022-11-18,22034930
2022-11-25,16271883
2022-12-02,20066941
2022-12-09,15316930
2022-12-16,33572382
2022-12-23,19663576
2022-12-30,10477419
2023-01-06,13648755
2023-01-13,14580596
2023-01-20,21419368
2023-01-27,43345140
2023-02-03,27874571
2023-02-10,22140989
2023-02-17,16543870
2023-02-24,14198950
2023-03-03,17865677
2023-03-10,20761401
2023-03-17,66132690
2023-03-24,20458253
2023-03-31,20779522
2023-04-06,13172262
2023-04-14,19506500
2023-04-21,30341128
2023-04-28,20644224
2023-05-05,21164660
2023-05-12,20404364
2023-05-19,18284524
2023-05-26,21029979
2023-06-02,24339245
2023-06-09,21174178
2023-06-16,24228597
2023-06-23,27111509
2023-06-30,18695850
2023-07-07,10923840
2023-07-14,15109770
2023-07-21,29295540
2023-07-28,24310886
2023-08-04,24072830
2023-08-11,19428470
2023-08-18,18826007
2023-08-25,15614989
2023-09-01,15198607
2023-09-08,13719451
2023-09-15,19316647
2023-09-22,23597168
2023-09-29,23445425
2023-10-06,15932918
2023-10-13,16386334
2023-10-20,21044049
2023-10-27,30227448
2023-11-03,22959464
2023-11-10,18357944
2023-11-17,19547595
2023-11-24,11362696
2023-12-01,21900644
2023-12-08,21918957
2023-12-15,33504550
2023-12-22,17686398
2023-12-29,9376537
2024-01-05,14822074
2024-01-12,17643392
2024-01-19,19864308
2024-01-26,56232762
2024-02-02,28283876
2024-02-09,22784812
2024-02-16,21745006
2024-02-23,17487852
2024-03-01,21955379
2024-03-08,29085296
2024-03-15,27466323
